"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"782183635059290112","","1063082558","2016-10-01 11:41:25 +0000","<a href=""http://nodered.org"" rel=""nofollow"">Node RED </a>","@indranil1741997 Best Books of all Time 1.  To kill A Mockingbird-Harper Lee 2.  1984-George Orwell 3.  The Lord Of The Rings-J.R.R Tolkien","","","",""
"782179638701240320","","1063082558","2016-10-01 11:25:32 +0000","<a href=""http://nodered.org"" rel=""nofollow"">Node RED </a>","@indranil1741997 Top Engineering Colleges 1. IIT, Bombay 2. IIT, Madras 3. IIT, Delhi","","","",""
"782178657326407680","","782160252015931392","2016-10-01 11:21:38 +0000","<a href=""http://nodered.org"" rel=""nofollow"">Node RED </a>","@vrindaagrawal51 Top Law Colleges 1. National Law School Of India, Bangalore 2. Rajiv Gandhi School of Intellectual 3. Modern School, Delhi","","","",""
"782174579414269952","","1063082558","2016-10-01 11:05:26 +0000","<a href=""http://nodered.org"" rel=""nofollow"">Node RED </a>","@indranil1741997 Places to visit Tommorow 1. Rangoli Metro Art Centre 2. Bannerghatta National Park  3. Vidhan Soudha","","","",""
"782170111075463168","","782160340100509696","2016-10-01 10:47:41 +0000","<a href=""http://nodered.org"" rel=""nofollow"">Node RED </a>","@PacksResults Places to visit Tommorow 1. Rangoli Metro Art Centre 2. Bannerghatta National Park  3. Vidhan Soudha","","","",""
"782169284642340865","","782160340100509696","2016-10-01 10:44:24 +0000","<a href=""http://nodered.org"" rel=""nofollow"">Node RED </a>","@PacksResults Top Movies of all time 1.  The Wizard of Oz 2.  The Third Man 3.  Citizen Kane","","","",""
"782163211499900928","","782160252015931392","2016-10-01 10:20:16 +0000","<a href=""http://nodered.org"" rel=""nofollow"">Node RED </a>","@vrindaagrawal51 Top PMT Coaching 1. Aakash Institute 2. Allen Career Institute 3. Brilliant Tutorials","","","",""
"782162488536076288","","782160340100509696","2016-10-01 10:17:23 +0000","<a href=""http://nodered.org"" rel=""nofollow"">Node RED </a>","@PacksResults Top Reality shows in India 1.  Big Boss 2.  Indian Idol 3.  MTV Roadies","","","",""
"782161944220274688","","782160340100509696","2016-10-01 10:15:14 +0000","<a href=""http://nodered.org"" rel=""nofollow"">Node RED </a>","@PacksResults My Parents 1. Kartik 2. Indranil  3. Vrinda They Created Me","","","",""
"782161518829776896","","782160252015931392","2016-10-01 10:13:32 +0000","<a href=""http://nodered.org"" rel=""nofollow"">Node RED </a>","@vrindaagrawal51 Top Engineering Colleges 1. IIT, Bombay 2. IIT, Madras 3. IIT, Delhi","","","",""
"782159643615203328","","1063082558","2016-10-01 10:06:05 +0000","<a href=""http://nodered.org"" rel=""nofollow"">Node RED </a>","@indranil1741997 Top PMT Coaching 1. Aakash Institute 2. Allen Career Institute 3. Brilliant Tutorials","","","",""
"782157227993858048","","1063082558","2016-10-01 09:56:29 +0000","<a href=""http://nodered.org"" rel=""nofollow"">Node RED </a>","@indranil1741997 Top IIT Coaching 1. Vibrant Academy 2. Resonance3. Bansal classes","","","",""
"782156821263847424","","1063082558","2016-10-01 09:54:52 +0000","<a href=""http://nodered.org"" rel=""nofollow"">Node RED </a>","@indranil1741997 My Parents 1. Kartik 2. Indranil  3. Vrinda They Created Me","","","",""
"782152987049197570","","","2016-10-01 09:39:38 +0000","<a href=""http://nodered.org"" rel=""nofollow"">Node RED </a>","@indranil1741997Top IIT Coaching 1. Vibrant Academy 2. Resonance3. Bansal classes","","","",""
"782149469634564097","","","2016-10-01 09:25:39 +0000","<a href=""http://nodered.org"" rel=""nofollow"">Node RED </a>","@indranil1741997Top Medical Colleges 1. AIIMS, New Delhi 2. Christ Medical College, Vellore 3. Armed Forces Medical College, Pune","","","",""
"782145540205211648","","777854496961507329","2016-10-01 09:10:03 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@kartik543214 top medical colleges in india","","","",""
"782145542226796549","","","2016-10-01 09:10:03 +0000","<a href=""http://nodered.org"" rel=""nofollow"">Node RED </a>","@kartik543214Top Medical Colleges 1. AIIMS, New Delhi 2. Christ Medical College, Vellore 3. Armed Forces Medical College, Pune","","","",""
"782145143235305472","","777854496961507329","2016-10-01 09:08:28 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@kartik543214 top daily soaps","","","",""
"782144775222808576","","","2016-10-01 09:07:00 +0000","<a href=""http://nodered.org"" rel=""nofollow"">Node RED </a>","@kartik543214Top Guitarists of all time 1. Jimi Hendrix  2. Duane Allman  3. B.B. King","","","",""
"782144772601503744","","777854496961507329","2016-10-01 09:06:59 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@kartik543214 top guitarists of all time","","","",""
"782143982549819392","","777854496961507329","2016-10-01 09:03:51 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@kartik543214 top reality shows","","","",""
"782143768308965376","","777854496961507329","2016-10-01 09:03:00 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@kartik543214 top tabla players","","","",""
"782143613476024321","","","2016-10-01 09:02:23 +0000","<a href=""http://nodered.org"" rel=""nofollow"">Node RED </a>","@kartik543214Top Boarding Schools 1.  Sahyadri School, Pune 2.  Rishi Valley School, Chittoor 3. Lawrence School, Sanawar","","","",""
"782143610640822273","","777854496961507329","2016-10-01 09:02:22 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@kartik543214 top boarding schools in india","","","",""
"782143422194917376","","777854496961507329","2016-10-01 09:01:38 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@kartik543214 top dance academies","","","",""
"782143424371699712","","","2016-10-01 09:01:38 +0000","<a href=""http://nodered.org"" rel=""nofollow"">Node RED </a>","@kartik543214Top Dance Academies 1.  Skidmore College 2.  Juilliard 3.  Mason Gross School of the Arts","","","",""
"782143165037961216","","777854496961507329","2016-10-01 09:00:36 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@kartik543214 best private colleges in india","","","",""
"782142659674644480","","777854496961507329","2016-10-01 08:58:36 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@kartik543214 best private schools in india","","","",""
"782142474831572992","","","2016-10-01 08:57:52 +0000","<a href=""http://nodered.org"" rel=""nofollow"">Node RED </a>","@kartik543214Top Commerce Colleges 1. Shri Ram College of Commerce 2. Lady Shri Ram College For Women 3. Loyala College, Chennai","","","",""
"782142472176726016","","777854496961507329","2016-10-01 08:57:51 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@kartik543214 top colleges in India","","","",""
"782142018059399168","","777854496961507329","2016-10-01 08:56:03 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@kartik543214 best private schools in India","","","",""
"782139934056468480","","","2016-10-01 08:47:46 +0000","<a href=""http://nodered.org"" rel=""nofollow"">Node RED </a>","@indranil1741997Top Private Schools 1. Daly College,Indore 2. Delhi Public School, Delhi 3. Modern School, Delhi","","","",""
"782138916589670401","","1063082558","2016-10-01 08:43:43 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@indranil1741997 hello","","","",""
